Unnamed: 0,GOID,topic,gamma,Date
36686,282314034,8,0.342491873422966,1994-05-01
31691,282318478,7,0.639137443841254,1994-07-11
11436,282319638,3,0.655184964887405,1994-05-29
31692,282331488,7,0.57597300247924,1994-07-15
11495,282334009,3,0.562183678779746,1994-08-28
31672,282336987,7,0.57403290035815,1994-06-19
36744,282337113,8,0.463907147005728,1994-07-11
46851,282340527,10,0.474987853345792,1994-07-10
6418,282344690,2,0.845349928459624,1994-07-10
31682,282345419,7,0.539445615283284,1994-07-01
26659,282347011,6,0.441905396266216,1994-08-30
6399,282349306,2,0.634665211290589,1994-06-16
11451,282351422,3,0.376413249896683,1994-06-15
31655,282357283,7,0.800660046010032,1994-06-02
36715,282358249,8,0.341578444490029,1994-06-10
1377,282362257,1,0.820222249963839,1994-07-31
20444,282366258,5,0.300029161045158,1988-02-03
11494,282368520,3,0.48256237601406,1994-08-25
15408,282383748,4,0.846038519569847,1988-05-29
31705,282384321,7,0.549619461805292,1994-08-12
1382,282395415,1,0.923548337001404,1994-08-15
230,282401472,1,0.548068917619834,1988-02-09
5310,282421207,2,0.719094974138974,1988-07-17
15389,282423662,4,0.833911974873726,1988-01-17
35617,282428511,8,0.382101178046268,1988-04-13
15402,282429053,4,0.477498797849422,1988-04-13
25502,282451421,6,0.42488874564884,1988-02-27
35628,282458937,8,0.702380525989002,1988-06-12
10366,282491483,3,0.688577673910086,1988-07-29
15442,282500484,4,0.628661498138442,1988-10-19
15451,282517999,4,0.673172797304713,1988-12-26
40728,282522323,9,0.800083291655304,1989-03-17
40761,282570106,9,0.570406120388111,1989-07-23
40740,282597995,9,0.436970872121237,1989-04-27
25593,282604475,6,0.706554609923607,1989-06-16
40715,282610037,9,0.411427265507608,1988-11-27
35699,282614739,8,0.506447376131424,1989-06-14
15448,282625338,4,0.649428879447753,1988-12-18
5390,282628455,2,0.325544049789332,1989-08-16
30644,282635774,7,0.546715716485538,1989-06-13
15496,282635947,4,0.34019171044376,1989-08-13
45788,282654071,10,0.484220537101198,1989-04-09
40730,282675110,9,0.856981724838622,1989-03-28
40738,282684384,9,0.450816898217678,1989-04-16
15456,282695897,4,0.725834552841887,1989-03-12
5415,282699984,2,0.751051493344039,1990-01-07
45888,282700408,10,0.37651769072038,1990-05-20
35763,282719275,8,0.946375031130908,1990-05-04
25575,282724567,6,0.877101659143139,1989-04-16
40855,282739350,9,0.640976565076126,1990-06-20
40841,282749002,9,0.653782673214473,1990-05-24
15575,282752436,4,0.84920218670473,1990-06-01
30722,282759428,7,0.325113300796513,1990-05-17
10471,282764916,3,0.441642846450814,1990-01-28
40824,282767911,9,0.530435572307056,1990-05-12
40811,282776373,9,0.597087575117984,1990-04-17
40808,282779013,9,0.82710087048,1990-04-14
40885,282779848,9,0.406774674379182,1990-07-21
40869,282786143,9,0.898293861143878,1990-06-27
40858,282802580,9,0.646585967243516,1990-06-23
15532,282803769,4,0.33875649413828,1990-03-16
20703,282819911,5,0.900433157732254,1990-10-21
45861,282824827,10,0.504500542988891,1990-04-07
40838,282835113,9,0.415776278367611,1990-05-22
40827,282856687,9,0.78715771047261,1990-05-15
40849,282858573,9,0.678035397286181,1990-06-08
25682,282862669,6,0.380717077060676,1990-05-30
45907,282863556,10,0.349569305960457,1990-06-18
15726,282886383,4,0.606298500079922,1991-05-26
30881,282913440,7,0.604526456265486,1991-05-14
40875,282934607,9,0.557209362250926,1990-07-01
40898,282941398,9,0.889027576350439,1990-08-27
40964,282955653,9,0.895493613825415,1991-03-23
494,282973277,1,0.593459095694015,1990-11-07
40906,282992443,9,0.519796110521568,1990-09-20
40993,283000983,9,0.779961885597555,1991-05-24
45970,283002978,10,0.413509428013412,1990-10-01
41031,283008147,9,0.869410939986548,1991-06-27
45972,283026732,10,0.428100852100702,1990-10-20
30842,283039641,7,0.503919397833102,1991-02-17
15687,283049012,4,0.362679964386156,1991-03-10
20728,283065125,5,0.438652372909926,1991-01-20
15760,283065364,4,0.953788369788134,1991-06-27
40978,283086835,9,0.474116848451324,1991-04-27
5631,283093211,2,0.792407069824924,1991-06-09
30848,283103063,7,0.821025795574317,1991-03-08
20801,283105540,5,0.432354065728128,1991-06-18
15707,283116893,4,0.534110274734473,1991-04-26
15853,283120081,4,0.970752173724855,1991-12-17
15814,283137325,4,0.445251214871515,1991-09-29
41223,283141429,9,0.850548060736528,1992-05-14
40973,283142239,9,0.671813080954394,1991-04-17
40994,283144796,9,0.722750362653602,1991-05-25
41262,283154638,9,0.559006051297132,1992-05-31
5744,283164347,2,0.478836281485039,1991-12-15
