GOID,Topic
293309532,6
430466197,2
291079784,8
293273371,1
430433629,4
291080483,2
293165401,4
293261723,5
293205896,3
293175006,3
293229330,4
293228554,3
398494290,4
293201675,3
430498843,0
430511309,4
291100444,0
291098721,2
291097612,8
291100122,0
430484311,0
430476331,0
398683443,4
307923257,0
307918934,7
293366828,3
293266500,5
307916747,4
430463091,4
293355274,6
291085676,2
307928298,4
430461606,8
293208901,0
293295828,5
430495454,0
430494225,2
291106589,2
291092194,7
293287932,1
307919996,7
293364660,0
307919634,4
307934946,4
291101441,2
293199131,1
293262146,6
291095845,6
293192324,6
307931372,7
291094123,2
430516390,5
430503601,3
291094032,7
307931310,7
293363637,6
398546134,4
307951984,4
293237157,7
293248241,0
430530404,4
430512872,6
307948215,9
291109657,7
293270845,8
291107146,6
430514497,8
430511250,6
398682997,6
307941388,6
291107523,6
398570877,6
293216040,6
293400524,0
293299803,5
293269202,5
307891233,2
293280718,0
293383598,3
293408114,1
293342718,1
291119488,7
398515570,1
293329292,7
430537542,4
307931086,7
307939313,4
430542208,7
291114417,7
293330637,3
293261811,0
398480466,4
291129224,4
293331632,7
291124189,2
293405009,1
398517939,6
430572168,7
430574980,4
291128274,0
430570009,4
291128340,5
293330730,6
293320125,1
430570117,1
293323344,8
291124820,0
291136907,0
430566627,0
293317249,6
291121705,5
307959946,7
430604389,0
430603575,4
293307042,4
291131375,3
291128594,6
307975016,4
293304920,6
398502189,3
307963819,5
291142440,2
430592775,3
307897253,2
398510705,3
291146776,7
291144320,1
293409346,6
291149812,1
293404226,6
293337461,1
430607573,3
293402715,1
293364387,1
307958862,4
307918187,6
293403057,1
291149193,6
293367838,1
430632033,5
430625543,8
398531317,2
291158647,6
430635338,6
307915530,1
293424182,4
430649654,4
291145786,6
307989214,1
293364887,5
430626359,4
398522950,3
293459072,6
293384270,6
293377444,3
293414749,4
293478893,0
398526185,4
291157200,2
293373607,0
430658484,5
430655844,0
430659362,0
307998394,2
293380759,6
291148537,6
293353097,6
430688617,4
307978970,0
430685158,8
293543556,6
430684405,4
307976291,4
291167529,3
293402313,3
430673243,2
293513412,8
293398346,7
291170774,0
293388851,5
291180863,0
308014047,6
293528207,1
307991151,4
308003622,2
430695924,6
293522344,5
291178086,6
293547560,3
293425773,6
291200516,0
293480054,0
293398153,3
398720911,2
430709467,0
430715186,4
408286043,4
421121717,5
430702381,1
430708750,0
430711801,0
418197009,5
408317024,4
418183477,4
421210100,6
421194024,7
408316970,0
430726656,0
421101016,3
421104252,3
421072592,0
430721316,3
408298007,1
421075250,3
421152876,5
421269273,2
421088605,5
430737264,0
430737336,1
418311709,0
421278224,2
418307681,0
430734951,3
408290858,0
421166247,3
421153861,5
421099729,1
430755778,0
418284753,0
408313094,6
430752925,0
421193400,5
408315513,4
421185573,1
398763893,6
408315574,1
421150458,8
398555412,6
418282960,1
430748506,6
418297098,2
408309485,2
408311242,3
421252934,0
421171374,4
421171156,3
408302838,2
408307476,9
418323562,2
418326916,6
421128928,3
421316659,3
421111804,1
430769295,5
408330093,8
421257078,5
430770213,3
418253929,2
421199805,7
430790338,4
418380106,5
408322387,7
430789242,7
430783952,6
421119503,3
421251093,5
421146024,5
418356201,2
421138027,3
421141003,5
421138099,5
421196926,2
408310307,2
430779613,7
421132803,8
421131158,1
430775820,2
418351871,0
418311817,2
398556532,0
430808652,6
430813470,4
408330473,6
421189769,0
421146296,8
408325043,6
421332495,6
408325232,0
421199392,1
418394765,4
421213391,1
421157152,3
421204020,2
421185292,3
421319210,5
421171125,6
421169411,6
421306904,4
408338970,0
408337963,5
418446096,5
408319935,3
408325909,9
421252649,0
418471943,4
408333300,4
408323808,3
398798721,1
418347549,2
418324285,7
421315535,5
421335490,1
421191115,2
418505163,0
430863441,7
430869525,0
421240879,7
408335480,0
430894100,1
421294306,1
430887841,0
408353921,0
2100799846,3
2100798323,3
430908339,3
421392115,0
421339721,1
421195936,2
421221739,2
408346270,6
408365083,1
418540390,2
408341927,8
421437498,2
408361819,0
430922762,7
421269675,0
430924911,4
421367086,3
408346947,7
421253687,3
421226472,5
398597754,5
408340962,3
430919255,3
398721909,3
408354832,9
421245836,5
430944001,0
430939430,6
421392692,5
430938930,0
430934605,6
418475413,1
430935045,0
421384829,0
421256090,3
398609959,1
430966242,7
408362265,6
418460205,2
430957321,0
421250669,6
430958278,4
418574027,4
421394009,4
421398699,2
408384479,4
398649105,1
408390876,5
421391405,7
430992222,2
418586942,2
418689027,0
418499729,0
398711131,7
430973771,8
421436166,3
421299370,0
421249508,3
421248549,1
398618922,1
418467119,0
421282796,6
421262927,8
421409367,3
430998156,0
431002109,1
418620506,5
418618342,5
418488683,2
418615792,3
421428260,3
418622378,0
430999367,3
408375384,8
421297711,8
421273805,6
430993090,3
430992524,6
430990673,0
421332368,2
421284632,1
421282930,2
421407612,5
421283800,5
