"","GOID","topic","gamma"
"295","427115409",1,0.0039411261355796
"296","282522323",1,0.00383538990268773
"297","307132379",1,0.00415183137424231
"298","282675110",1,0.00636907314725422
"299","307130951",1,0.00385214008314769
"300","280736078",1,0.0458761658943425
"301","280751893",1,0.00151481702309751
"302","282654071",1,0.131809956642867
"303","307135543",1,0.00729749681183052
"304","280750750",1,0.036527796503614
"305","282724567",1,0.000903918768672573
"306","282684384",1,0.0549234816802474
"307","280742833",1,0.0472537463699801
"308","282597995",1,0.00404634239511904
"309","427171246",1,0.00285802176331367
"310","427185821",1,0.0301348612083274
"311","280833756",1,0.00315047472652174
"312","280815426",1,0.041004375413581
"313","398098888",1,0.0072173705215781
"314","280844959",1,0.0367616125358257
"315","427256055",1,0.000886694165208095
"316","280813019",1,0.0379009404325529
"317","427252044",1,0.00838692808100642
"318","427248890",1,0.00134818976984348
"319","280830786",1,0.00232709681137057
"320","282635774",1,0.00314756354653189
"321","282614739",1,0.00265464078705853
"322","427244704",1,0.00229883989662231
"323","282604475",1,0.000925831852590272
"324","280863370",1,0.00127429605478184
"325","307143064",1,0.0108657456072086
"326","280906873",1,0.0152338867774096
"327","280968424",1,0.00171780908781481
"328","307197737",1,0.00172253610202662
"329","282570106",1,0.00366931504193564
"330","427270066",1,0.00512672236800654
"331","280821684",1,0.0038235036330308
"332","280789792",1,0.00552845706642187
"333","427329986",1,0.00219532444793276
"334","282635947",1,0.0878414082852438
"335","307193341",1,0.0278520021525791
"336","282628455",1,0.00291654458537039
"337","280759594",1,0.00267348270609931
"338","307170873",1,0.00697445211871896
"339","280865349",1,0.0106901100507051
"340","307189773",1,0.000983404596786236
"341","280914279",1,0.00405752110778406
"342","280782432",1,0.00483632653244916
"343","427368637",1,0.00985318796158127
"344","427366801",1,0.00377783585636412
"345","280865973",1,0.00854709303740758
"346","307204789",1,0.106165900361188
"347","307185015",1,0.00677294113505075
"348","427346747",1,0.00254833456493859
"349","280896750",1,0.0127604617266778
"350","280966463",1,0.00521888119796977
"351","280912917",1,0.000561618997701693
"352","427386477",1,0.0132083203268171
"353","280886256",1,0.00971333195584701
"354","280829712",1,0.00523724049218516
"355","427439031",1,0.00129871061647589
"356","280926165",1,0.0183865654851565
"357","280849964",1,0.388845209106757
"358","427482269",1,0.0209100543248749
"359","280918272",1,0.00888403449111876
"360","280956224",1,0.0397007019947091
"361","282699984",1,0.0810910351052964
"362","307224803",1,0.00352092010668475
"363","282764916",1,0.00298641982726698
"364","427495597",1,0.1937454597821
"365","281001639",1,0.0150362659642976
"366","427532886",1,0.0032348436987154
"367","307292082",1,0.0105607530979659
"368","427591718",1,0.042043597614538
"369","307285179",1,0.00780330427508232
"370","282803769",1,0.00193455407860205
"371","281007190",1,0.00532297753257004
"372","281076613",1,0.0371295116046629
"373","307296274",1,0.030949310687496
"374","281051665",1,0.0146594690265087
"375","282824827",1,0.0028587428024627
"376","282779013",1,0.00283038804436521
"377","281056347",1,0.000746504723203276
"378","281098373",1,0.00779714766995334
"379","282776373",1,0.0415869464057111
"380","307253954",1,0.000735668333188479
"381","281058494",1,0.241754279182567
"382","281102511",1,0.00350788054377729
"383","281054930",1,0.00509829249478393
"384","281109048",1,0.00294690752047215
"385","282719275",1,0.00179682405185729
"386","427668935",1,0.00191046272056872
"387","281115574",1,0.0526056021481354
"388","281123232",1,0.0024872486121234
"389","427660586",1,0.00274818103757549
"390","281050150",1,0.0657179729992084
"391","307267795",1,0.0142610166199446
"392","282767911",1,0.0184913147220681
"393","281104783",1,0.00527279300192912
"394","307274205",1,0.00880623474707687
"395","282856687",1,0.00568359051631737
"396","427656302",1,0.00463213933027682
"397","398199303",1,0.00144310931236651
"398","282759428",1,0.00718505461610392
"399","281141699",1,0.00293801757260878
"400","281098652",1,0.0114131114264581
"401","281142181",1,0.0100463620426716
"402","282700408",1,0.00459733015375463
"403","281092851",1,0.0018926039291362
"404","427648779",1,0.00200336814522262
"405","427644603",1,0.00178679563309612
"406","282835113",1,0.00509458707803818
"407","281111992",1,0.00421907544138081
"408","398146857",1,0.0899071443889111
"409","282749002",1,0.00924756670020642
"410","427664297",1,0.00211179757943736
"411","281043288",1,0.00281602182461526
"412","282862669",1,0.0334838990622491
"413","282752436",1,0.00113294122298056
"414","427706417",1,0.00300463429035395
"415","307270176",1,0.0034453467230583
"416","281203247",1,0.0258319089047035
"417","282858573",1,0.00607722671098379
"418","281130244",1,0.016979516383213
"419","280973989",1,0.00625266660196868
"420","281170283",1,0.00226981399476363
"421","282863556",1,0.00301636073190551
"422","280990125",1,0.00461281253272974
"423","282739350",1,0.00290448452485072
"424","281071618",1,0.00281030215901898
"425","427684364",1,0.00159202500831306
"426","282802580",1,0.00163518288773168
"427","307307896",1,0.00190763158190216
"428","280974111",1,0.00249982805316326
"429","398136069",1,0.00475495702046855
"430","398135391",1,0.00431759958435631
"431","280964384",1,0.00305034476613389
"432","307302502",1,0.0048655517743024
"433","398132857",1,0.00151851763192892
"434","427684212",1,0.0018990214048331
"435","307297810",1,0.00421093937540163
"436","307307278",1,0.00529019130833441
"437","282786143",1,0.00228964292888422
"438","280960529",1,0.00779744223267301
"439","307283088",1,0.0038801326112625
"440","307295315",1,0.004219124658596
"441","307294151",1,0.00180279930948026
"442","427748116",1,0.00433722709997037
"443","282934607",1,0.0493097387163925
"444","281044822",1,0.00479120894220636
"445","307337855",1,0.00696614746797457
"446","281037665",1,0.789149451360389
"447","307281467",1,0.00509220087213018
"448","307286244",1,0.00535641839605661
"449","281078007",1,0.0270094500503217
"450","281012248",1,0.0129111462134611
"451","427731093",1,0.735802257317562
"452","307340884",1,0.00791644204556001
"453","282779848",1,0.00239150952316515
"454","281057378",1,0.00228704922265052
"455","281177864",1,0.0087876055055558
"456","281284941",1,0.00237074826437579
"457","281183776",1,0.0337552958978631
"458","281245705",1,0.00590572687913886
"459","427775239",1,0.00193642064132583
"460","281082775",1,0.00882691036549805
"461","281066247",1,0.0090413253164209
"462","307299469",1,0.00682716656770542
"463","398151900",1,0.00417985704872407
"464","307353297",1,0.0039968611884982
"465","427754819",1,0.00424451043489383
"466","282941398",1,0.00522595727900725
"467","307296667",1,0.00742787982705776
"468","281069886",1,0.00899255266024018
"469","307323400",1,0.00190630809933311
"470","427809463",1,0.00294798769847933
"471","281101493",1,0.00780150593644902
"472","398150928",1,0.00402973314855519
"473","281092797",1,0.00495634904815161
"474","282992443",1,0.00406301854097528
"475","307308965",1,0.00223539841299386
"476","427793888",1,0.00874576396849308
"477","281065736",1,0.00692435490474422
"478","281081430",1,0.00195256835223063
"479","281123918",1,0.0320693777183678
"480","281099907",1,0.0023083061833558
