filename,date,topics,keywords
CREC-2009-03-03-pt1-PgD202.pdf,"March 3, 2009",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2011-10-04-pt1-PgD1044.pdf,"October 4, 2011",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1997-09-19-pt1-PgD978-4.pdf,"September 19, 1997",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2004-07-20-pt2-PgD807.pdf,"July 20, 2004",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1997-09-23-pt1-PgD988.pdf,"September 23, 1997",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2015-05-06-pt1-PgD501.pdf,"May 6, 2015",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2004-07-21-pt2-PgD817.pdf,"July 21, 2004",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1995-05-19-pt1-PgD636-4.pdf,"May 19, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2003-04-09-pt2-PgD382.pdf,"April 9, 2003",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-1999-07-21-pt1-PgD842.pdf,"July 21, 1999",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2000-06-19-pt1-PgD620.pdf,"June 19, 2000",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2000-09-08-pt1-PgD880-4.pdf,"September 8, 2000",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2015-01-21-pt1-PgD45.pdf,"January 21, 2015",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2013-03-22-pt1-PgD265.pdf,"March 22, 2013",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1997-09-22-pt1-PgD984-3.pdf,"September 22, 1997",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2005-01-04-pt1-PgD6-2.pdf,"January 4, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2003-07-16-pt1-PgD832.pdf,"July 16, 2003",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2018-11-16-pt1-PgD1186-3.pdf,"November 16, 2018",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1997-05-07-pt1-PgD443.pdf,"May 7, 1997",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1997-10-31-pt1-PgD1186.pdf,"October 31, 1997",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1995-03-07-pt1-PgD299.pdf,"March 7, 1995",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2000-02-29-pt1-PgD138.pdf,"February 29, 2000",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
